roomIndex_1,roomIndex_2,coordiates_1,coordiates_2,recordPow,recordSnr,recordAoaAz,recordAzErr,recordBfGain
11,45,6.65,-1.6,-85.460509316851,39.0284902160467,-85.6,0.91449999999999,19.7883589790945
11,46,6.8,-1.6,-78.6079743734387,48.6246889852939,-86.2,0.084699999999998,19.6618951892668
11,47,6.95,-1.6,-77.6826339409855,45.1307273447121,-87.4,0.00260000000000105,19.4792913609798
11,59,8.75,-1.6,-76.1264722699666,50.6494488931261,-97.2,3.465,16.6124506689447
11,60,8.9,-1.6,-76.1311599360516,49.5104283831678,-107,5.26100000000001,16.2416011314966
11,61,9.05,-1.6,-75.6415604447367,49.1992712579672,-102.8,0.00400000000000489,15.8540152403957
11,62,9.2,-1.6,-76.4758025732906,51.6314913692203,-108,4.139,15.4511534425929
11,63,9.35,-1.6,-76.458950110165,29.2568835016951,-35,69.908,15.1892020954337
11,64,9.5,-1.6,-76.7748359670911,35.330202464572,-92.2,13.745,15.0173087691762
11,65,9.65,-1.6,-76.4371684983707,39.8555436896192,-118,11.028,14.8253973776851
11,66,9.8,-1.6,-76.3520534354504,38.2620799289796,-112.8,4.81299999999999,14.6175427918871
11,67,9.95,-1.6,-76.5191093319445,41.8714681901573,-122.2,13.209,14.3954977268953
11,68,10.1,-1.6,-76.4528679317441,44.1701706608831,-119.8,9.81700000000001,14.1609309608728
11,69,10.25,-1.6,-76.2528699495938,44.6160663846249,-115.4,4.43700000000001,13.8941820144205
11,70,10.4,-1.6,-75.4422287115679,44.4730366922438,-112,0.0699999999999932,13.6178028445888
11,71,10.55,-1.6,-75.6667451728038,45.2644895237147,-121.6,8.71599999999999,13.3335213372784
11,72,10.7,-1.6,-75.6915175760964,46.5956317747452,-117.4,3.57600000000001,13.0425513706963
11,73,10.85,-1.6,-76.1988354949917,46.786528870876,-114.8,0.0479999999999876,12.7461553815379
11,74,11,-1.6,-76.1412875948799,47.9329728784577,-108.2,7.465,12.4318236004423
11,75,11.15,-1.6,-76.7916635264809,47.5329184932727,-116.6,0.0349999999999966,12.1093617801834
11,76,11.3,-1.6,-76.5475748340726,45.6963743472372,-117.4,0.0510000000000019,11.7847888665268
11,77,11.45,-1.6,-77.5338775390476,45.1082830097978,-112.8,5.523,11.4589417804712
11,78,11.6,-1.6,-77.0794771511762,45.4136782005395,-114.2,4.98099999999999,11.1325965480446
11,79,11.75,-1.6,-76.5709751529693,44.655206119905,-120,0.0250000000000057,10.8060450638136
11,80,11.9,-1.6,-76.427198692292,44.9224858939073,-120.8,0.054000000000002,10.927671692049
11,81,12.05,-1.6,-76.9992050727431,44.4954905431453,-126.6,4.92999999999999,11.2380166813072
11,82,12.2,-1.6,-75.7335945088175,47.0184298985278,-125,2.529,11.5380717439851
11,83,12.35,-1.6,-76.278490793425,44.2447397578041,-123.2,0.0589999999999975,11.8276953064261
11,84,12.5,-1.6,-76.4157035845064,44.6792422196183,-124,0.0320000000000107,12.106884264351
11,85,12.65,-1.6,-77.3341947709915,42.6753657493465,-124.8,0.00799999999999557,12.3756219363647
11,86,12.8,-1.6,-77.3340902177793,43.2285442204942,-122,3.538,12.6231308206381
11,87,12.95,-1.6,-77.8736557798071,44.328222771494,-129.4,3.13000000000001,12.8563326690383
11,88,13.1,-1.6,-76.2055897012854,42.3654908201152,-130.6,3.611,13.0794343495899
11,89,13.25,-1.6,-77.3598692301273,42.8470704034257,-122.6,5.09400000000001,13.2924988755358
11,90,13.4,-1.6,-76.6469680185457,40.801407582783,-125.4,2.98699999999999,13.4956640613665
12,40,5.9,-1.75,-82.950326054559,33.3873046222929,-5.40000000000001,4.42346200000001,19.1559402047267
12,41,6.05,-1.75,-82.4830026962269,32.5732655952071,-173,172.006531,19.1596596082491
12,42,6.2,-1.75,-82.9986794953359,37.3335202718634,-174,172.989,19.1634810215172
12,43,6.35,-1.75,-84.288771084056,34.4165204589078,-8.59999999999999,7.57084999999999,19.1674473410525
12,44,6.5,-1.75,-84.1455060854607,36.9464015737219,-3.19999999999999,2.15201999999999,19.1715359033225
12,45,6.65,-1.75,-81.9691792575854,35.2549089345364,-5.19999999999999,4.13249999999999,19.1757675528117
12,46,6.8,-1.75,-77.5115810963801,47.9249856630654,-86.2,0.011099999999999,19.6728373388906
12,47,6.95,-1.75,-76.7724416980545,44.1519960610834,-87.4,0.0542000000000087,19.4884643187732
12,48,7.1,-1.75,-76.7287709642407,42.927315092386,-88.4,0.0825999999999993,19.2708029267126
12,53,7.85,-1.75,-75.3511688985885,46.8165817232924,-94.2,0.0335000000000036,18.2125689513466
12,57,8.45,-1.75,-76.0989538114748,49.1273743885996,-103,4.3394,17.2143305606713
12,58,8.6,-1.75,-76.571050831592,48.6694348081507,-99.8,0.0302999999999969,16.8998415607899
12,59,8.75,-1.75,-74.5986847550484,48.4323839273453,-108.2,7.32899999999999,16.5425871946908
12,60,8.9,-1.75,-75.1748946109614,50.8237833083481,-115.2,13.235,16.1608334083097
12,61,9.05,-1.75,-75.8646752380268,50.1799281538415,-108.6,5.55,15.7619652873419
12,62,9.2,-1.75,-76.0330789810128,50.379667180393,-109,4.875,15.3475062737055
12,63,9.35,-1.75,-76.7260328838544,34.8712464168412,-119,13.809,15.1459994864505
12,64,9.5,-1.75,-76.5568647689121,36.8900581711328,-120.2,13.954,14.9631477311628
12,65,9.65,-1.75,-76.5052552162384,38.163554877199,-114,6.711,14.7623174272572
12,66,9.8,-1.75,-76.2066278853072,42.098860781554,-123.2,14.879,14.5455087652777
12,67,9.95,-1.75,-76.114810299367,41.9171722101003,-109.4,0.0589999999999975,14.3145198292999
12,68,10.1,-1.75,-75.4341632693543,41.4688801948686,-117.2,6.852,14.0634233833027
12,69,10.25,-1.75,-75.4342147800407,47.6200318938793,-116.8,5.45799999999998,13.7872248766119
12,70,10.4,-1.75,-75.6483796209849,43.1978528592369,-112.4,0.0770000000000124,13.5019472570388
12,71,10.55,-1.75,-75.0172860820745,47.3323836545594,-118.8,5.50999999999999,13.2090187367639
12,72,10.7,-1.75,-76.0917066565198,43.3821581230415,-108,6.244,12.9096924928033
12,73,10.85,-1.75,-76.0565460307687,43.7721152112782,-118.8,3.617,12.6014886601367
12,74,11,-1.75,-75.9847354039312,47.2331918885809,-119.6,3.492,12.2741363561646
12,75,11.15,-1.75,-75.4599044144489,47.0513723654763,-122.4,5.38100000000001,11.9440606303088
12,76,11.3,-1.75,-76.5247693672853,46.2843728628029,-118,0.0849999999999937,11.6122543001458
12,77,11.45,-1.75,-76.523582722315,47.1189915338894,-126.2,7.404,11.2795719531647
12,78,11.6,-1.75,-76.4974049551982,47.1752485453887,-119,0.662999999999997,10.9468044794188
12,79,11.75,-1.75,-76.395306921337,45.0647559145173,-115.6,4.91500000000001,10.7972939339165
12,80,11.9,-1.75,-77.2691195427182,44.8126840015865,-121.4,0.0470000000000113,11.1180016981598
12,81,12.05,-1.75,-76.3343008659921,43.4814448778778,-120.6,1.57600000000001,11.4280051726328
12,82,12.2,-1.75,-76.6226535413393,45.3240293978216,-123,0.0160000000000053,11.727220353656
12,83,12.35,-1.75,-75.7219336484097,45.3441569074889,-130.2,6.422,12.0155920020615
12,84,12.5,-1.75,-76.5824647945191,44.622423406734,-124.6,0.0429999999999922,12.2930918285813
12,85,12.65,-1.75,-77.7126773004202,43.1918434189486,-125.4,0.078000000000003,12.5532511680019
12,86,12.8,-1.75,-77.5021504110932,42.9012651393652,-126,0.0720000000000027,12.794013156943
12,87,12.95,-1.75,-76.768357846743,42.3690429476522,-126.8,0.00900000000000034,13.0242141342446
12,88,13.1,-1.75,-77.4383597212747,41.5904461118842,-59.4,68.132,13.2440074020153
12,89,13.25,-1.75,-76.6539771897832,41.2931204177477,-128.2,0.0410000000000252,13.4534384361049
12,90,13.4,-1.75,-77.1617095785754,31.5384935702691,-118.4,10.536,13.6866691916642
13,38,5.6,-1.9,-84.0285505836848,54.4731898812488,-144.4,9.035,21.96506448362
13,39,5.75,-1.9,-87.7410247822255,45.1608581974281,-138.2,17.123,21.96506448362
13,40,5.9,-1.9,-88.8894859904234,37.7124290072873,-15.4,6.4014,20.3920027230747
13,41,6.05,-1.9,-86.381380488857,35.7257027782412,5.6,3.55459,18.6015578596533
